AuthorityCode,1991,2001,2011,2012,2013,2014,2015,2016,2017,2018,2019
W06000001,711.6801,711.6801,711.6801,711.6801,711.6801,711.6801,711.6801,711.6801,711.6801,711.6801,711.6801
W06000002,2534.7422,2534.7422,2534.7422,2534.7422,2534.7422,2534.7422,2534.7422,2534.7422,2534.7422,2534.7422,2534.7422
W06000003,1125.8409,1125.8409,1125.8409,1125.8409,1125.8409,1125.8409,1125.8409,1125.8409,1125.8409,1125.8409,1125.8409
W06000004,836.7704,836.7704,836.7704,836.7704,836.7704,836.7704,836.7704,836.7704,836.7704,836.7704,836.7704
W06000005,439.7241,439.7241,439.7241,439.7241,439.7241,439.7241,439.7241,439.7241,439.7241,439.7241,439.7241
W06000006,503.7739,503.7739,503.7739,503.7739,503.7739,503.7739,503.7739,503.7739,503.7739,503.7739,503.7739
W06000008,5180.6716,5180.6716,5180.6716,5180.6716,5180.6716,5180.6716,5180.6716,5180.6716,5180.6716,5180.6716,5180.6716
W06000009,1785.5105,1785.5105,1785.5105,1785.5105,1785.5105,1785.5105,1785.5105,1785.5105,1785.5105,1785.5105,1785.5105
W06000010,1618.3449,1618.3449,1618.3449,1618.3449,1618.3449,1618.3449,1618.3449,1618.3449,1618.3449,1618.3449,1618.3449
W06000011,2370.2762,2370.2762,2370.2762,2370.2762,2370.2762,2370.2762,2370.2762,2370.2762,2370.2762,2370.2762,2370.2762
W06000012,377.5964,377.5964,377.5964,377.5964,377.5964,377.5964,377.5964,377.5964,377.5964,377.5964,377.5964
W06000013,441.2447,441.2447,441.2447,441.2447,441.2447,441.2447,441.2447,441.2447,441.2447,441.2447,441.2447
W06000014,250.7852,250.7852,250.7852,250.7852,250.7852,250.7852,250.7852,250.7852,250.7852,250.7852,250.7852
W06000015,331.1447,331.1447,331.1447,331.1447,331.1447,331.1447,331.1447,331.1447,331.1447,331.1447,331.1447
W06000016,140.8979,140.8979,140.8979,140.8979,140.8979,140.8979,140.8979,140.8979,140.8979,140.8979,140.8979
W06000018,424.1502,424.1502,424.1502,424.1502,424.1502,424.1502,424.1502,424.1502,424.1502,424.1502,424.1502
W06000019,111.4463,111.4463,111.4463,111.4463,111.4463,111.4463,111.4463,111.4463,111.4463,111.4463,111.4463
W06000020,277.3879,277.3879,277.3879,277.3879,277.3879,277.3879,277.3879,277.3879,277.3879,277.3879,277.3879
W06000021,108.7279,108.7279,108.7279,108.7279,108.7279,108.7279,108.7279,108.7279,108.7279,108.7279,108.7279
W06000022,125.6987,125.6987,125.6987,125.6987,125.6987,125.6987,125.6987,125.6987,125.6987,125.6987,125.6987
W06000023,849.0808,849.0808,849.0808,849.0808,849.0808,849.0808,849.0808,849.0808,849.0808,849.0808,849.0808
W06000024,190.3727,190.3727,190.3727,190.3727,190.3727,190.3727,190.3727,190.3727,190.3727,190.3727,190.3727